OBJECTID,Id,grid_code,YEAR,Shapearea,Shapelen
450,2826,55705893,2040,84.206159105,45.2741232692311
451,2827,55705893,2040,21.051529885,18.417009393563
452,2852,55705893,2040,21.05306394,18.417608992863
453,2853,55705893,2040,21.053274715,18.4177088944829
454,2859,55705893,2040,2063.29300189,254.017919896698
455,2898,55705893,2040,863.322812725,209.51710167009
456,2909,55705893,2040,42.1213828,28.3974146053346
457,2914,55705893,2040,21.06155703,18.4210146095405
458,2915,55705893,2040,21.061307345,18.4209144843287
459,2990,55705893,2040,21.070072195,18.4244131358628
460,2992,55705893,2040,63.21117115,38.3780259153824
461,2993,55705893,2040,21.07010879,18.4244124280964
462,2997,55705893,2040,21.07152837,18.4250121971574
463,3012,55705893,2040,21.07230724,18.4253088908113
464,3014,55705893,2040,21.07251912,18.4254091874645
465,3031,55705893,2040,21.07281604,18.4255132543542
466,3033,55705893,2040,42.14518792,26.874212384405
467,3039,55705893,2040,653.259778865,213.467210603883
468,3040,55705893,2040,42.14628677,26.8745138667123
469,3043,55705893,2040,21.07302081,18.4256104246413
470,3044,55705893,2040,84.29176445,45.2999327846733
471,3047,55705893,2040,568.973056105,128.97916888601
472,3061,55705893,2040,231.8065106,82.1517607440505
473,3063,55705893,2040,21.07352752,18.4258138600579
474,3064,55705893,2040,21.07352165,18.4258112930864
475,3074,55705893,2040,126.441133165,55.2773305351902
476,3076,55705893,2040,126.44195833,63.7267306494679
477,3080,55705893,2040,189.663119535,62.1991453385934
478,3082,55705893,2040,21.07402248,18.426012197412
479,3086,55705893,2040,21.07402257,18.4260121964847
480,3088,55705893,2040,695.43617211,152.801800787569
481,3090,55705893,2040,42.14804043,26.8752163005358
482,3094,55705893,2040,42.147455485,26.8751196516831
483,3100,55705893,2040,21.0745219,18.4262124268848
484,3101,55705893,2040,21.074310955,18.4261125441204
485,3102,55705893,2040,21.0736006,18.4258124271546
486,3107,55705893,2040,105.370835475,53.7510343883278
487,3109,55705893,2040,42.14861921,28.4028184799871
488,3110,55705893,2040,84.297450225,45.3017295012136
489,3112,55705893,2040,105.371971065,45.3017295012136
490,3114,55705893,2040,21.074310955,18.4261125441204
491,3116,55705893,2040,84.29795405,45.301831005301
492,3117,55705893,2040,21.07409943,18.42601242702
493,3119,55705893,2040,21.074310955,18.4261125441204
494,3120,55705893,2040,21.0745219,18.4262124268848
495,3131,55705893,2040,21.07455955,18.4262121968173
496,3135,55705893,2040,21.0745585,18.4262117410523
497,3137,55705893,2040,21.07459369,18.4262104243003
498,3138,55705893,2040,21.0745585,18.4262117410527
499,3142,55705893,2040,105.373585045,56.8059379936478
500,3144,55705893,2040,21.074804665,18.4263103189135
501,3145,55705893,2040,21.07434651,18.4261114041588
502,3146,55705893,2040,105.37425458,55.2791362437257
503,3147,55705893,2040,21.0745585,18.4262117410527
504,3148,55705893,2040,21.07502074,18.4264124267503
505,3149,55705893,2040,21.07459672,18.4262117402198
506,3150,55705893,2040,84.2996532,45.3023285950867
507,3151,55705893,2040,21.07459826,18.4262124268855
508,3154,55705893,2040,63.22464003,36.8526248536358
509,3156,55705893,2040,316.12307703,109.030568819479
510,3157,55705893,2040,21.07459826,18.4262124268855
511,3158,55705893,2040,42.15028623,26.8761166325595
512,3159,55705893,2040,6006.322191395,1055.08415642923
513,3160,55705893,2040,84.299727965,36.8527229187661
514,3167,55705893,2040,21.074846375,18.4263118534202
515,3171,55705893,2040,2086.42670762,546.786197010677
516,3173,55705893,2040,63.224961325,36.8528237062098
517,3177,55705893,2040,42.150786575,26.8763170806316
518,3178,55705893,2040,63.225384095,38.3799246517749
519,3179,55705893,2040,21.07509351,18.4264108540783
520,3180,55705893,2040,21.07526886,18.4265118532919
521,3181,55705893,2040,21.07509603,18.4264119666206
522,3182,55705893,2040,21.075304485,18.4265107463249
523,3183,55705893,2040,21.07551748,18.4266115151074
524,3190,55705893,2040,84.30180436,45.3032293862343
525,3192,55705893,2040,42.151113145,28.4033183658994
526,3198,55705893,2040,63.227908255,35.3269203311017
527,3199,55705893,2040,105.380010935,52.2271297021268
528,3216,55705893,2040,42.15502988,26.8780181085127
529,3221,55705893,2040,84.309324515,45.3052293861019
530,3222,55705893,2040,63.23244411,38.3807246512579
531,3223,55705893,2040,42.155103825,28.4041183653831
532,3227,55705893,2040,168.622983285,76.7616488505325
533,3233,55705893,2040,1165753594.97902,1424106.5668241
