OBJECTID,BEGIN_MP,END_MP,ROW_OWNER,FREIGHT_OP,SUBDIVISIO,SHRTLN_NAM,SHRTLN_COD,PASS_OP,PASS_NETWO,COMM_OP,COMM_NETWO,RECR_OP,RECR_NETWO,STATUS,RR_CLSS,TRK_CLSS,PASS_SPEED,FRT_SPEED,FRT_DNS,NUM_TRACK,STRACNET,CR63,SHAPE_LENG,SHAPE_Length
346,13.7,16.5,UP,"UP,BNSF",Niles, , ,Amtrak,Capitol Corridor, , , , ,1,I,4,79,50,1,1, ,CTC,4627.17081024,5854.91953446136
347,12.1,13.5,UP,"UP,BNSF",Niles, , ,Amtrak,"Capitol Corridor,Coast Starlight", , , , ,1,I,4,79,60,1,2,S,"2MT,CTC",2396.66522567,3033.61294620694
348,11.8,12.1,UP,"UP,BNSF",Niles, , ,Amtrak,"Capitol Corridor,Coast Starlight", , , , ,1,I,4,79,60,1,2,S,"2MT,CTC",502.24166003,635.803316230976
349,10.3,10.4,UP,"UP,BNSF",Niles, , ,Amtrak,"Capitol Corridor,Coast Starlight", , , , ,1,I,4,79,60,2,2,S,"2MT,CTC",184.9818559,234.190729150764
350,9.8,10.3,UP,"UP,BNSF",Niles, , ,Amtrak,"Capitol Corridor,Coast Starlight", , , , ,1,I,4,79,60,2,2,S,"2MT,CTC",870.49571887,1102.11050474039
351,8.3,9.8,UP,"UP,BNSF",Niles, , ,Amtrak,"Capitol Corridor,Coast Starlight", , , , ,1,I,4,79,60,2,2,S,"2MT,CTC",2305.47005873,2919.12171554858
352,7.6,8.3,UP,"UP,BNSF",Niles, , ,Amtrak,"Capitol Corridor,Coast Starlight", , , , ,1,I,4,79,60,2,2,S,"2MT,CTC",1277.84098746,1617.62417948231
353,7.3,7.6,UP,"UP,BNSF",Niles, , ,Amtrak,"Capitol Corridor,Coast Starlight", , , , ,1,I,2,25,15,2,2,S,"2MT,CTC",546.57907162,691.916450769236
354,7,7.3,UP,"UP,BNSF",Niles, , ,Amtrak,"Capitol Corridor,Coast Starlight", , , , ,1,I,2,25,15,2,2,S,"2MT,CTC",386.63466141,489.487931643799
355,6.3,6.4,UP,"UP,BNSF",Niles, , ,Amtrak,"Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,2,25,15,2,2,S,"2MT,CTC",274.55825501,347.636831581883
356,44.7,45.7,UP,"UP,JPBX",Coast, , ,Amtrak,"Capitol Corridor,Coast Starlight","PCJPB,SJRRC","ACE,Caltrain", , ,1,I,3,30,25,1,3, ,"3MT,CTC",1189.03962074,1496.75950274441
357,44.7,44.7,UP,"PCJPB,UP",Coast, , ,Amtrak,"Capitol Corridor,Coast Starlight","PCJPB,SJRRC","ACE,Caltrain", , ,1,I,3,30,25,1,3, ,"3MT,CTC",437.37238144,550.572357625792
358,43.6,44.7,UP,UP,Coast, , ,Amtrak,"Capitol Corridor,Coast Starlight",SJRRC,ACE, , ,1,I,3,50,50,1,2,S,"2MT,CTC",2216.39209753,2792.24649031645
359,40.7,43.6,UP,UP,Coast, , ,Amtrak,"Capitol Corridor,Coast Starlight",SJRRC,ACE, , ,1,I,4,60,50,1,1,S,CTC,4132.63922823,5207.65432636266
360,45.7,46.4,UP,"PCJPB,UP",Coast, , ,Amtrak,"Capitol Corridor,Coast Starlight","PCJPB,SJRRC","ACE,Caltrain", , ,1,I,3,40,40,1,3, ,"3MT,CTC",1423.45330799,1791.71102009796
361,46.4,47.1,UP,"PCJPB,UP",Coast, , ,Amtrak,"Capitol Corridor,Coast Starlight","PCJPB,SJRRC","ACE,Caltrain", , ,1,I,3,40,40,1,3, ,"3MT,CTC",881.89221726,1110.26382772234
362,47.1,47.5,UP,"PCJPB,UP",Coast, , ,Amtrak,"Capitol Corridor,Coast Starlight","PCJPB,SJRRC","ACE,Caltrain", , ,1,I,2,15,15,1,3, ,"3MT,CTC",613.61434641,772.73419027111
363,31.7,31.8,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,3,40,30,4,3,S,"3MT,CTC",166.89098503,211.906599017971
364,31,31.7,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,3,40,30,4,3,S,"3MT,CTC",826.50543075,1049.48594957602
365,31.8,32,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,3,45,30,4,3,S,"3MT,CTC",460.49050631,584.796454681582
366,32,32.8,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,3,45,30,4,2,S,"2MT,CTC",877.08544634,1113.9177844922
367,32.8,32.9,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,3,45,30,3,2,S,"2MT,CTC",202.29203667,256.913702769983
368,32.9,34.4,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,3,45,30,3,2,S,"2MT,CTC",2846.65903332,3618.37335446011
369,34.4,34.5,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,3,40,30,3,2,S,"2MT,CTC",369.66724036,470.022887241983
370,34.5,38,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,3,40,30,3,2,S,"2MT,CTC",4912.56646708,6247.19627476298
371,38.2,42.3,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,4,79,70,3,2,S,"2MT,CTC",6931.74132169,8822.88355837375
372,42.3,48.9,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,4,79,70,3,2,S,"2MT,CTC",10227.5346057,13029.5256709541
373,48.9,52,UP,"UP,BNSF,CFNR",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,4,75,60,3,2,S,"2MT,CTC",5484.90171487,6989.58138872933
374,110.5,120.6,UP,UP,Roseville-Track 2, , ,Amtrak,"California Zephyr,Capitol Corridor", , , , ,1,I,3,40,40,3,1,S,ABS,15626.3944856,20079.6969166824
375,93.4,101.3,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor", , , , ,1,I,4,60,40,6,2,S,"2MT,CTC",12700.2300672,16275.4624160283
376,2.2,3.2,UP,"UP,BNSF",Martinez, , ,Amtrak,"Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,3,50,40,4,2,S,"2MT,CTC",1509.80008353,1912.95688730473
377,3.2,3.7,UP,"UP,BNSF",Martinez, , ,Amtrak,"Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,3,50,40,4,2,S,"2MT,CTC",246.40374413,312.339577376593
378,3.7,4.3,UP,"UP,BNSF",Martinez, , ,Amtrak,"Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,3,50,40,4,2,S,"2MT,CTC",1207.21282091,1530.5211811578
379,4.3,4.5,UP,"UP,BNSF",Martinez, , ,Amtrak,"Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,3,50,40,4,2,S,"2MT,CTC",564.46832754,715.698532129738
380,4.5,4.7,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,3,50,40,4,2,S,"2MT,CTC",210.03429563,266.31298300542
381,4.7,5.2,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,3,50,40,4,2,S,"2MT,CTC",816.97461458,1035.94091005474
382,5.2,6.2,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,3,50,40,4,2,S,"2MT,CTC",2058.67120795,2610.87048348161
383,6.2,9.4,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,4,79,70,4,2,S,"2MT,CTC",6439.65004514,8169.79946912588
384,9.4,12,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,4,79,70,4,2,S,"2MT,CTC",2721.85059186,3453.45118172845
385,12,15.3,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,4,79,70,4,2,S,"2MT,CTC",5303.15910764,6734.87443990096
386,15.3,20.4,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,4,79,70,4,2,S,"2MT,CTC",8220.84119928,10440.2125595261
387,20.4,20.8,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,3,43,30,4,2,S,"2MT,CTC",789.79351463,1003.39493576765
388,20.8,26,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,3,43,30,4,2,S,"2MT,CTC",8186.92050924,10402.9732532855
389,26,27.5,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,3,40,30,4,2,S,"2MT,CTC",2220.99267886,2821.53772429449
390,27.5,30.1,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,3,50,30,4,2,S,"2MT,CTC",4387.74490962,5575.79341580211
391,30.1,31,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,3,40,30,4,2,S,"2MT,CTC",1489.73298794,1892.01302120034
392,52,55.4,UP,"UP,BNSF,CFNR",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,4,79,70,3,2,S,"2MT,CTC",5497.98325941,7008.98833872105
393,55.4,59.4,UP,"UP,BNSF,CFNR",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,4,79,70,3,2,S,"2MT,CTC",6329.19150292,8076.16873284765
394,65.5,67.5,UP,"UP,BNSF,CFNR",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,4,79,70,3,2,S,"2MT,CTC",3213.50140126,4106.59051249407
395,67.5,75,UP,"UP,BNSF,CFNR",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,4,79,70,3,2,S,"2MT,CTC",12178.2764495,15575.1158824773
396,75.6,79.1,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,3,55,30,3,2,S,"2MT,CTC",5444.90374842,6963.54254848796
397,79.1,86.9,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,4,79,70,3,2,S,"2MT,CTC",12499.4210263,15990.4044367854
398,88.1,88.5,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,3,30,30,3,2,S,"2MT,CTC",954.69154572,1221.53014685685
399,86.9,88.1,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,4,79,70,3,2,S,"2MT,CTC",1831.26658025,2342.95884445646
400,88.5,88.8,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,2,20,20,3,2,S,"2MT,CTC",428.07976369,547.742086031719
